category,lemma,sing,sing_freq,plur,plur_freq
Noun,jaar,jaar,6.25,jaren,5.62
Noun,dag,dag,5.99,dagen,5.64
Noun,mens,mens,5.17,mensen,6.21
Noun,man,man,5.85,mannen,5.51
Noun,vraag,vraag,5.64,vragen,5.65
Noun,vrouw,vrouw,5.73,vrouwen,5.54
Noun,kind,kind,5.36,kinderen,5.75
Noun,plaats,plaats,5.74,plaatsen,5.28
Noun,deel,deel,5.73,delen,5.29
Noun,land,land,5.69,landen,5.26
Noun,week,week,5.58,weken,5.32
Noun,probleem,probleem,5.44,problemen,5.35
Noun,tijd,tijd,5.97,tijden,4.79
Noun,meisje,meisje,5.37,meisjes,5.27
Noun,maand,maand,5.29,maanden,5.35
Noun,hand,hand,5.38,handen,5.23
Noun,uur,uur,5.83,uren,4.77
Noun,stad,stad,5.68,steden,4.91
Noun,zaak,zaak,5.26,zaken,5.32
Noun,vriend,vriend,5.12,vrienden,5.43
Noun,huis,huis,5.73,huizen,4.78
Noun,boek,boek,5.35,boeken,5.14
Noun,lid,lid,5.21,leden,5.23
Noun,leven,leven,5.95,levens,4.47
Noun,film,film,5.47,films,4.95
Noun,partij,partij,5.32,partijen,5.08
Noun,verhaal,verhaal,5.4,verhalen,4.99
Noun,woord,woord,5.22,woorden,5.17
Noun,ding,ding,4.86,dingen,5.49
Noun,persoon,persoon,5.22,personen,5.13
Noun,soort,soort,5.43,soorten,4.91
Noun,geval,geval,5.33,gevallen,5.01
Noun,bedrijf,bedrijf,5.23,bedrijven,5.11
Noun,groep,groep,5.49,groepen,4.84
Noun,school,school,5.48,scholen,4.84
Noun,gebied,gebied,5.42,gebieden,4.88
Noun,artikel,artikel,5.42,artikelen,4.83
Noun,link,link,5.1,links,5.15
Noun,jongen,jongen,5.1,jongens,5.13
Noun,website,website,5.56,websites,4.64
Noun,stem,stem,5.13,stemmen,5.06
Noun,idee,idee,5.41,ideeën,4.75
Noun,prijs,prijs,5.28,prijzen,4.88
Noun,recht,recht,5.29,rechten,4.86
Noun,gemeente,gemeente,5.35,gemeenten,4.78
Noun,oog,oog,4.89,ogen,5.24
Noun,punt,punt,5.1,punten,5.02
Noun,plan,plan,5.18,plannen,4.92
Noun,moment,moment,5.54,momenten,4.55
Noun,beeld,beeld,5.13,beelden,4.92
Noun,minuut,minuut,4.65,minuten,5.36
Noun,moeder,moeder,5.41,moeders,4.59
Noun,kans,kans,5.39,kansen,4.61
Noun,stap,stap,5.14,stappen,4.86
Noun,familie,familie,5.56,families,4.42
Noun,reden,reden,5.26,redenen,4.72
Noun,organisatie,organisatie,5.2,organisaties,4.77
Noun,wedstrijd,wedstrijd,5.23,wedstrijden,4.69
Noun,miljoen,miljoen,5.33,miljoenen,4.59
Noun,nummer,nummer,5.32,nummers,4.58
Noun,stuk,stuk,5.24,stukken,4.66
Noun,bericht,bericht,5.15,berichten,4.75
Noun,project,project,5.17,projecten,4.72
Noun,resultaat,resultaat,4.88,resultaten,5.0
Noun,team,team,5.35,teams,4.52
Noun,kleur,kleur,5.14,kleuren,4.71
Noun,reactie,reactie,5.04,reacties,4.79
Noun,gevolg,gevolg,5.02,gevolgen,4.81
Noun,heer,heer,5.01,heren,4.8
Noun,dienst,dienst,5.13,diensten,4.67
Noun,kant,kant,5.26,kanten,4.53
Noun,gebouw,gebouw,5.04,gebouwen,4.75
Noun,actie,actie,5.19,acties,4.59
Noun,voorbeeld,voorbeeld,5.03,voorbeelden,4.75
Noun,kaart,kaart,5.03,kaarten,4.71
Noun,bron,bron,5.02,bronnen,4.72
Noun,tekst,tekst,5.05,teksten,4.66
Noun,feit,feit,5.02,feiten,4.69
Noun,ontwikkeling,ontwikkeling,5.12,ontwikkelingen,4.56
Noun,fout,fout,4.99,fouten,4.69
Noun,foto,foto,5.61,foto's,4.06
Noun,gesprek,gesprek,4.99,gesprekken,4.66
Noun,speler,speler,4.75,spelers,4.9
Noun,dame,dame,4.68,dames,4.97
Noun,doel,doel,5.2,doelen,4.44
Noun,vader,vader,5.43,vaders,4.2
Noun,site,site,5.14,sites,4.49
Noun,nacht,nacht,5.09,nachten,4.23
Noun,dier,dier,4.57,dieren,5.05
Noun,taal,taal,5.03,talen,4.59
Noun,rol,rol,5.22,rollen,4.39
Noun,broer,broer,5.08,broers,4.53
Noun,onderdeel,onderdeel,5.15,onderdelen,4.45
Noun,ervaring,ervaring,4.95,ervaringen,4.65
Noun,slachtoffer,slachtoffer,4.86,slachtoffers,4.74
Noun,wereld,wereld,5.63,werelden,3.83
Noun,dochter,dochter,5.22,dochters,4.37
Noun,contact,contact,5.21,contacten,4.38
Noun,eiland,eiland,5.1,eilanden,4.49
Noun,winkel,winkel,4.89,winkels,4.69
Noun,provincie,provincie,5.2,provincies,4.37
Noun,deur,deur,4.95,deuren,4.62
Noun,dorp,dorp,5.07,dorpen,4.49
Noun,wet,wet,5.15,wetten,4.4
Noun,mogelijkheid,mogelijkheid,4.8,mogelijkheden,4.75
Noun,straat,straat,5.09,straten,4.45
Noun,regel,regel,4.55,regels,4.99
Noun,wapen,wapen,4.84,wapens,4.7
Noun,middel,middel,4.89,middelen,4.64
Noun,relatie,relatie,5.05,relaties,4.47
Noun,bank,bank,5.04,banken,4.48
Noun,kracht,kracht,5.04,krachten,4.48
Noun,les,les,5.04,lessen,4.48
Noun,club,club,5.12,clubs,4.39
Noun,belang,belang,5.08,belangen,4.43
Noun,minister,minister,5.21,ministers,4.27
Noun,band,band,4.96,banden,4.52
Noun,grens,grens,4.84,grenzen,4.64
Noun,student,student,4.52,studenten,4.95
Noun,lichaam,lichaam,5.23,lichamen,4.23
Noun,medewerker,medewerker,4.66,medewerkers,4.8
Noun,droom,droom,4.72,dromen,4.73
Noun,meid,meid,4.75,meiden,4.69
Noun,oorlog,oorlog,5.29,oorlogen,4.14
Noun,gast,gast,4.69,gasten,4.74
Noun,waarde,waarde,4.86,waarden,4.56
Noun,klant,klant,4.66,klanten,4.76
Noun,keuze,keuze,5.01,keuzes,4.4
Noun,schip,schip,4.92,schepen,4.49
Noun,boom,boom,4.74,bomen,4.67
Noun,moord,moord,4.98,moorden,4.42
Noun,oplossing,oplossing,4.94,oplossingen,4.46
Noun,burger,burger,4.61,burgers,4.79
Noun,onderwerp,onderwerp,4.8,onderwerpen,4.59
Noun,product,product,4.64,producten,4.75
Noun,voet,voet,4.74,voeten,4.65
Noun,vriendin,vriendin,5.06,vriendinnen,4.32
Noun,activiteit,activiteit,4.35,activiteiten,5.0
Noun,winnaar,winnaar,4.85,winnaars,4.5
Noun,kerk,kerk,5.03,kerken,4.31
Noun,functie,functie,4.92,functies,4.42
Noun,trein,trein,4.86,treinen,4.48
Noun,brief,brief,4.9,brieven,4.43
Noun,gedachte,gedachte,4.5,gedachten,4.83
Noun,ziekenhuis,ziekenhuis,5.06,ziekenhuizen,4.27
Noun,licht,licht,5.11,lichten,4.21
Noun,universiteit,universiteit,5.08,universiteiten,4.24
Noun,serie,serie,5.06,series,4.26
Noun,locatie,locatie,4.84,locaties,4.48
Noun,muur,muur,4.83,muren,4.49
Noun,medium,medium,4.06,media,5.25
Noun,god,god,5.18,goden,4.13
Noun,zin,zin,5.17,zinnen,4.14
Noun,seizoen,seizoen,5.16,seizoenen,4.14
Noun,systeem,systeem,5.04,systemen,4.25
Noun,eeuw,eeuw,4.96,eeuwen,4.32
Noun,gezin,gezin,4.93,gezinnen,4.35
Noun,woning,woning,4.77,woningen,4.51
Noun,verkiezing,verkiezing,4.3,verkiezingen,4.97
Noun,lijn,lijn,4.94,lijnen,4.33
Noun,gat,gat,4.49,gaten,4.78
Noun,kamp,kamp,4.76,kampen,4.51
category,word,freq
Adj,goed,6.2
Adj,ander,6.12
Adj,nieuw,6.05
Adj,echt,6.01
Adj,heel,6.0
Adj,gewoon,5.85
Adj,groot,5.85
Adj,eigen,5.81
Adj,snel,5.74
Adj,laat,5.73
Adj,nodig,5.73
Adj,erg,5.71
Adj,zeker,5.69
Adj,verschillend,5.68
Adj,ver,5.66
Adj,lang,5.65
Adj,leuk,5.6
Adj,vaak,5.6
Adj,natuurlijk,5.59
Adj,mooi,5.58
Adj,klein,5.55
Adj,online,5.55
Adj,klaar,5.51
Adj,oud,5.51
Adj,open,5.5
Adj,bekend,5.49
Adj,mogelijk,5.49
Adj,zoek,5.47
Adj,eigenlijk,5.45
Adj,nederlands,5.44
Adj,vast,5.43
Adj,zuid,5.43
Adj,vrij,5.42
Adj,amerikaans,5.41
Adj,best,5.41
Adj,eerder,5.39
Adj,duidelijk,5.36
Adj,gratis,5.35
Adj,lekker,5.35
Adj,belangrijk,5.34
Adj,blij,5.34
Adj,druk,5.34
