category,lemma,aux,participle
IVerb,blijven,zijn,gebleven
IVerb,landen,hebben,geland
IVerb,slapen,hebben,geslapen
IVerb,kosten,hebben,gekost
IVerb,stappen,hebben,gestapt
IVerb,reizen,hebben,gereisd
IVerb,reageren,hebben,gereageerd
IVerb,lachen,hebben,gelachen
IVerb,vechten,hebben,gevochten
IVerb,verschillen,hebben,verschild
IVerb,duren,hebben,geduurd
IVerb,verdwijnen,zijn,verdwenen
IVerb,zwemmen,hebben,gezwommen
IVerb,vissen,hebben,gevist
IVerb,vertrekken,hebben,vertrokken
IVerb,vluchten,hebben,gevlucht
IVerb,behoren,hebben,behoord
IVerb,kampen,hebben,gekampt
IVerb,overlijden,zijn,overleden
IVerb,klagen,hebben,geklaagd
IVerb,ontsnappen,hebben,ontsnapt
IVerb,verhuizen,hebben,verhuisd
IVerb,verschijnen,zijn,verschenen
IVerb,bedanken,hebben,bedankt
IVerb,lukken,zijn,gelukt
IVerb,letten,hebben,gelet
IVerb,zwijgen,hebben,gezwegen
IVerb,handelen,hebben,gehandeld
IVerb,spellen,hebben,gespeld
IVerb,gelden,hebben,gegolden
IVerb,slagen,zijn,geslaagd
IVerb,ontbreken,hebben,ontbroken
IVerb,verblijven,hebben,verbleven
IVerb,duiken,hebben,gedoken
IVerb,wennen,hebben,gewend
IVerb,sparen,hebben,gespaard
IVerb,profiteren,hebben,geprofiteerd
IVerb,beschikken,hebben,beschikt
IVerb,functioneren,hebben,gefunctioneerd
IVerb,klinken,hebben,geklonken
IVerb,stranden,hebben,gestrand
IVerb,schudden,hebben,geschud
IVerb,koppen,hebben,gekopt
IVerb,dalen,hebben,gedaald
IVerb,twijfelen,hebben,getwijfeld
IVerb,winkelen,hebben,gewinkeld
IVerb,schamen,hebben,geschaamd
IVerb,onderhandelen,hebben,onderhandeld
IVerb,bemoeien,hebben,bemoeid
IVerb,falen,hebben,gefaald
IVerb,schijnen,hebben,geschenen
IVerb,verbazen,hebben,verbaasd
IVerb,verzetten,hebben,verzet
IVerb,voetballen,hebben,gevoetbald
IVerb,schaatsen,hebben,geschaatst
IVerb,dreigen,hebben,gedreigd
IVerb,ademen,hebben,geademd
IVerb,logeren,hebben,gelogeerd
IVerb,vervelen,hebben,verveeld
IVerb,bedienen,hebben,bediend
IVerb,verenigen,hebben,verenigd
IVerb,belanden,hebben,beland
IVerb,discussiëren,hebben,gediscussieerd
IVerb,rapporteren,hebben,gerapporteerd
IVerb,krimpen,hebben,gekrompen
IVerb,activeren,hebben,geactiveerd
IVerb,heersen,hebben,geheerst
IVerb,arriveren,hebben,gearriveerd
IVerb,fungeren,hebben,gefungeerd
IVerb,mislukken,zijn,mislukt
IVerb,glijden,hebben,gegleden
IVerb,suggereren,hebben,gesuggereerd
IVerb,dineren,hebben,gedineerd
