category,lemma,pres_sing,pres_plur,past_sing,past_plur
TVerb,doden,doodt,doden,doodde,doodden
TVerb,boeken,boekt,boeken,boekte,boekten
TVerb,verhalen,verhaalt,verhalen,verhaalde,verhaalden
TVerb,beschermen,beschermt,beschermen,beschermde,beschermden
TVerb,verdienen,verdient,verdienen,verdiende,verdienden
TVerb,vieren,viert,vieren,vierde,vierden
TVerb,bezoeken,bezoekt,bezoeken,bezocht,bezochten
TVerb,kleuren,kleurt,kleuren,kleurde,kleurden
TVerb,wensen,wenst,wensen,wenste,wensten
TVerb,organiseren,organiseert,organiseren,organiseerde,organiseerden
TVerb,verwijderen,verwijdert,verwijderen,verwijderde,verwijderden
TVerb,leveren,levert,leveren,leverde,leverden
TVerb,herinneren,herinnert,herinneren,herinnerde,herinnerden
TVerb,bespreken,bespreekt,bespreken,besprak,bespraken
TVerb,ontmoeten,ontmoet,ontmoeten,ontmoette,ontmoetten
TVerb,dekken,dekt,dekken,dekte,dekten
TVerb,regelen,regelt,regelen,regelde,regelden
TVerb,behandelen,behandelt,behandelen,behandelde,behandelden
TVerb,verzamelen,verzamelt,verzamelen,verzamelde,verzamelden
TVerb,bevatten,bevat,bevatten,bevatte,bevatten
TVerb,overleven,overleeft,overleven,overleefde,overleefden
TVerb,accepteren,accepteert,accepteren,accepteerde,accepteerden
TVerb,oefenen,oefent,oefenen,oefende,oefenden
TVerb,ondernemen,onderneemt,ondernemen,ondernam,ondernamen
TVerb,ondersteunen,ondersteunt,ondersteunen,ondersteunde,ondersteunden
TVerb,roken,rookt,roken,rookte,rookten
TVerb,kenmerken,kenmerkt,kenmerken,kenmerkte,kenmerkten
TVerb,vergelijken,vergelijkt,vergelijken,vergeleek,vergeleken
TVerb,verslaan,verslaat,verslaan,versloeg,versloegen
TVerb,negeren,negeert,negeren,negeerde,negeerden
TVerb,veroorzaken,veroorzaakt,veroorzaken,veroorzaakte,veroorzaakten
TVerb,verbergen,verbergt,verbergen,verborg,verborgen
TVerb,bezorgen,bezorgt,bezorgen,bezorgde,bezorgden
TVerb,vullen,vult,vullen,vulde,vulden
TVerb,verhogen,verhoogt,verhogen,verhoogde,verhoogden
TVerb,ontwerpen,ontwerpt,ontwerpen,ontwierp,ontwierpen
TVerb,versterken,versterkt,versterken,versterkte,versterkten
TVerb,vermoorden,vermoordt,vermoorden,vermoordde,vermoordden
TVerb,beantwoorden,beantwoordt,beantwoorden,beantwoordde,beantwoordden
